neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Makulubita,22984.330169260502,24045.365851521492,24602.89856684208,25169.92317968607,25776.2002299428,26474.036200881004,27125.33871549368,27791.0001501441,28459.004382431507,29175.0706448555,29815.862963676453,30600.145017147064,31411.541651546955,32222.64373779297,32978.501916110516,33835.966481626034,34764.10258591175,35602.37187278271,36522.01334089041,37465.0434615016,38323.16397821903
Masajja Division,46386.8725464344,49883.64697980881,54087.511538505554,57746.3609495163,60701.10551571846,64731.308589696884,69235.1203277111,73146.30207848549,77688.38453817368,83089.59249067307,88802.744535923,93642.60541677475,99296.62493181229,107612.2079281807,115407.12131166458,121219.95346069336,128496.52225971222,139417.27901029587,148799.83167648315,157874.5833592415,170806.44162511826
Masese Walukuba,12170.406439781189,12199.506529808044,12498.560273170471,12611.915614128113,12932.647852897644,13108.239735603333,13272.373788833618,13651.07710647583,13915.907836914063,14175.063479423523,14347.176906585693,14212.862132072449,14226.954852104187,14175.076958656311,14506.6697473526,14604.706889152527,14781.384726524353,14989.811693191528,15373.974660873413,15446.291482925415,15864.330087661743
Masuliita,4074.2952781915665,4344.251120090485,4614.084526121616,4919.514667332172,5266.448254317045,5619.343911468983,6006.875902444124,6423.106765061617,6839.165519744158,7298.990224540234,7787.572818636894,8333.209918022156,8906.774282753468,9483.231846094131,10120.799849331379,10832.133699893951,11564.429806888103,12344.72581243515,13191.359612464905,14061.040304780006,15030.851530730724
Masulita Town Council,5732.38506641984,6115.759712249041,6606.09176492691,7071.893438339233,7538.522497713566,8052.98034119606,8613.831460952759,9210.070255100727,9818.465698361397,10495.903700530529,11206.435716152191,11958.511836767197,12758.308318555355,13646.486842155457,14598.832838714123,15593.446602225304,16671.10535544157,17813.013335347176,18994.930995881557,20315.30445998907,21698.605697631836
Mende,11014.644680052996,11776.117064744234,12542.675371706486,13403.597036659718,14197.848774075508,15163.757911086082,16199.799490988255,17268.566420793533,18513.57600003481,19721.530892193317,21048.98852980137,22495.40132021904,23954.396115601063,25654.240235984325,27486.248093008995,29401.049233675003,31327.71887677908,33496.41531789303,35930.334246754646,38471.85768413544,41082.346958100796
Mpatta,11666.805770993233,12024.428055524826,12369.575577527285,12749.280222833157,13117.163702964783,13498.424574375153,13875.920262098312,14268.498265832663,14708.205921709538,15135.021603941917,15578.196495652199,16056.502605021,16576.525467664003,16939.601156681776,17485.676974236965,18012.52315247059,18525.452472627163,19061.40510702133,19639.6450176239,20213.019102215767,20805.393418729305
Mpigi Town Council,31733.20570191741,32778.676108792424,33614.3642501086,34410.52703207731,35271.67815923691,36140.36761948466,36994.44185325503,37867.561719596386,38828.2119846642,39725.59579753876,40738.14908450842,41695.06527969241,42657.69960722327,43790.331920057535,44870.06668883562,45950.00369814038,47038.43608084321,48180.494634866714,49367.14364284277,50567.69898378849,51818.52058571577
Mpumudde Division,24872.491854071617,27049.350724220276,27384.713808834553,28016.98216843605,28412.70084708929,28859.788239479065,29377.07588237524,29882.901554584503,30402.340808033943,30809.895933270454,31229.941046833992,31586.890719890594,32127.766485333443,32696.32605099678,33460.770248651505,33823.61350774765,34388.627237439156,34936.425356030464,35496.67987883091,36025.825466513634,36670.14089071751
Mpunge,10876.480013728142,11159.876698940992,11452.635838866234,11742.440092265606,12080.09506893158,12436.530651390553,12762.214266061783,13086.75724735856,13500.307658791542,13817.142839729786,14232.537760913372,14611.123159050941,15012.606794595718,15488.82179427147,16031.877471089363,16542.783386051655,17039.974289417267,17524.83487546444,18025.03322583437,18519.695453345776,19054.073403716087
