neighborhood,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
Mpatta,13721.507997948676,14150.03777506575,14642.120004937053,15144.05331290327,15628.860309521202,16153.187807431445,16662.816904788837,17162.526410878636,17619.885732992552,18084.277294252068
Mpigi Town Council,39529.76516931504,40771.11061911704,42239.38157149963,43724.20405641571,45210.84211863205,46762.862840237096,48288.51587171387,49855.09866825584,51268.60653256532,52708.92514574714
Mpumudde Division,42029.946025937796,43375.14832533151,44948.26946379244,46535.866912290454,48111.451188482344,49772.60405938793,51357.19603520073,52957.969390470535,54403.27444367856,55864.72265893966
Mpunge,11304.33555899188,11658.919574260712,12060.330548260361,12474.208442599513,12883.244940317003,13321.844985521864,13746.228896219749,14162.889008517377,14547.72865548078,14933.337491065264
Muduuma,34030.60156349838,35112.84045649227,36394.90348669421,37686.05545091722,38993.288027952425,40398.662073944695,41794.44617287628,43236.77698496729,44576.12261258531,45929.16105636116
Nabbaale,43548.3620634228,44904.33768501319,46496.36538622994,48097.185419240035,49725.427444987,51408.48394933902,53062.505460084416,54748.34947918262,56281.67300650664,57824.62298280746
Nabweru Division,120367.48706845939,124246.46495576948,128880.39444981515,133464.3084615767,137934.34838286042,142613.55369463563,147289.48414015025,152021.07022868097,156216.87483805418,160559.4373685941
Nagojje,32348.779739119112,33339.669886677526,34499.98794525862,35661.36862900108,36826.185108283535,38044.47052695975,39230.876824798994,40409.4844269976,41475.35074003227,42559.284558149055
Najjembe Division,32234.050437122583,33240.673941281624,34436.468803817406,35621.18495793268,36832.263168176636,38105.422647699714,39365.16888990812,40652.30567720812,41832.20866822824,43034.03461793903
Nakawa Division,372272.85391685367,383997.253017053,397775.89342316985,411535.38425923884,425391.040312957,440149.5538951531,454574.94437497854,469201.26839002967,482624.3253549151,496231.09669846296
Nakisunga,65177.396038874984,67205.43939099275,69624.66158643924,72073.29344597925,74549.23903560918,77154.39430030063,79733.02900054492,82323.69719989225,84729.29526904598,87172.08238612115
Nama,63726.43274059147,65745.81132277101,68126.74034616444,70535.80205952562,72965.801071289,75546.82747722417,78069.57379864529,80645.54697147012,83017.60795673542,85418.38962674327
